route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,14,4026,"PRINCETON JCT.",0,"4276",2389
15,12,4027,"PRINCETON JCT.",0,"4278",2390
15,14,4028,"PRINCETON JCT.",0,"4278",2391
15,8,4029,"PRINCETON",1,"4105",2392
15,10,4030,"PRINCETON",1,"4105",2393
15,8,4031,"PRINCETON",1,"4107",2394
15,10,4032,"PRINCETON",1,"4107",2395
15,8,4033,"PRINCETON",1,"4109",2396
15,10,4034,"PRINCETON",1,"4109",2397
15,8,4035,"PRINCETON",1,"4111",2398
15,10,4036,"PRINCETON",1,"4111",2399
15,8,4037,"PRINCETON",1,"4113",2400
15,10,4038,"PRINCETON",1,"4113",2401
15,8,4039,"PRINCETON",1,"4115",2402
15,10,4040,"PRINCETON",1,"4115",2403
15,8,4041,"PRINCETON",1,"4117",2404
15,10,4042,"PRINCETON",1,"4117",2405
15,8,4043,"PRINCETON",1,"4119",2406
15,10,4044,"PRINCETON",1,"4119",2407
15,8,4045,"PRINCETON",1,"4121",2408
15,10,4046,"PRINCETON",1,"4121",2409
15,8,4047,"PRINCETON",1,"4123",2410
15,10,4048,"PRINCETON",1,"4123",2411
15,8,4049,"PRINCETON",1,"4125",2412
15,10,4050,"PRINCETON",1,"4125",2413
15,8,4051,"PRINCETON",1,"4127",2414
15,10,4052,"PRINCETON",1,"4127",2415
15,8,4053,"PRINCETON",1,"4131",2416
15,10,4054,"PRINCETON",1,"4131",2417
15,8,4055,"PRINCETON",1,"4133",2418
15,10,4056,"PRINCETON",1,"4133",2419
15,8,4057,"PRINCETON",1,"4135",2420
15,10,4058,"PRINCETON",1,"4135",2421
15,8,4059,"PRINCETON",1,"4137",2422
15,10,4060,"PRINCETON",1,"4137",2423
15,8,4061,"PRINCETON",1,"4139",2424
15,10,4062,"PRINCETON",1,"4139",2425
15,8,4063,"PRINCETON",1,"4141",2426
15,10,4064,"PRINCETON",1,"4141",2427
15,8,4065,"PRINCETON",1,"4143",2428
15,10,4066,"PRINCETON",1,"4143",2429
15,8,4067,"PRINCETON",1,"4145",2430
15,10,4068,"PRINCETON",1,"4145",2431
15,8,4069,"PRINCETON",1,"4147",2432
15,10,4070,"PRINCETON",1,"4147",2433
15,8,4071,"PRINCETON",1,"4149",2434
15,10,4072,"PRINCETON",1,"4149",2435
15,8,4073,"PRINCETON",1,"4151",2436
15,10,4074,"PRINCETON",1,"4151",2437
15,8,4075,"PRINCETON",1,"4153",2438
15,10,4076,"PRINCETON",1,"4153",2439
15,8,4077,"PRINCETON",1,"4155",2440
15,10,4078,"PRINCETON",1,"4155",2441
15,8,4079,"PRINCETON",1,"4157",2442
15,10,4080,"PRINCETON",1,"4157",2443
15,8,4081,"PRINCETON",1,"4159",2444
15,10,4082,"PRINCETON",1,"4159",2445
15,8,4083,"PRINCETON",1,"4161",2446
15,10,4084,"PRINCETON",1,"4161",2447
15,8,4085,"PRINCETON",1,"4163",2448
15,10,4086,"PRINCETON",1,"4163",2449
15,8,4087,"PRINCETON",1,"4165",2450
15,10,4088,"PRINCETON",1,"4165",2451
15,8,4089,"PRINCETON",1,"4167",2452
15,10,4090,"PRINCETON",1,"4167",2453
15,8,4091,"PRINCETON",1,"4169",2454
15,10,4092,"PRINCETON",1,"4169",2455
15,8,4093,"PRINCETON",1,"4171",2456
15,10,4094,"PRINCETON",1,"4171",2457
15,8,4095,"PRINCETON",1,"4173",2458
15,10,4096,"PRINCETON",1,"4173",2459
15,8,4097,"PRINCETON",1,"4175",2460
15,10,4098,"PRINCETON",1,"4175",2461
15,8,4099,"PRINCETON",1,"4177",2462
15,10,4100,"PRINCETON",1,"4177",2463
15,8,4101,"PRINCETON",1,"4179",2464
15,10,4102,"PRINCETON",1,"4179",2465
15,8,4103,"PRINCETON",1,"4181",2466
15,10,4104,"PRINCETON",1,"4181",2467
15,8,4105,"PRINCETON",1,"4183",2468
15,10,4106,"PRINCETON",1,"4183",2469
15,8,4107,"PRINCETON",1,"4101",2470
15,10,4108,"PRINCETON",1,"4101",2471
15,8,4109,"PRINCETON",1,"4103",2472
15,10,4110,"PRINCETON",1,"4103",2473
15,12,4111,"PRINCETON",1,"4279",2474
15,14,4112,"PRINCETON",1,"4279",2475
15,12,4113,"PRINCETON",1,"4201",2476
15,14,4114,"PRINCETON",1,"4201",2477
